BygningAnvendelsesKode_Value,BygningOpfoerelsesaar_Value,BygningSamletBoligAreal_Value,BygningVarmeinstallation_Value,EnhedAntalVaerelser_Value
140,1964,2124,1,2
140,1964,2124,1,2
140,1964,2124,1,2
140,1964,2124,1,2
140,1964,2124,1,2
140,1964,2124,1,2
140,1964,2124,1,2
140,1964,2124,1,2
140,1964,2124,1,2
140,1964,2124,1,2
140,1964,2124,1,2
140,1964,2124,1,2
140,1912,126,1,2
140,1912,126,1,3
130,2000,104,1,4
130,1985,142,7,2
130,1963,120,2,4
130,1940,60,1,3
130,1973,146,2,5
140,1700,354,2,2
140,1700,354,2,4
140,1700,354,2,3
140,1700,354,2,3
140,1700,354,2,2
130,1990,268,1,2
130,1974,512,1,4
130,1974,512,1,3
130,1974,512,1,2
130,1974,512,1,1
140,1968,2448,1,2
140,1968,2448,1,3
140,1968,2448,1,3
140,1968,2448,1,3
140,1968,2448,1,3
140,1968,2448,1,3
140,1968,2448,1,2
140,1968,2448,1,3
140,1968,2448,1,3
140,1968,2448,1,3
140,1968,2448,1,3
140,1968,2448,1,3
140,1968,2448,1,2
140,1968,2448,1,3
140,1968,2448,1,3
130,1921,100,2,5
140,1887,178,2,3
140,1887,178,2,3
140,1887,178,2,1
140,1887,178,2,2
130,1979,183,1,5
130,2007,109,2,4
130,1980,188,1,5
130,2008,136,1,4
130,2008,350,1,3
130,2008,350,1,4
130,2008,350,1,3
130,1976,896,7,4
130,1976,896,7,3
130,1976,896,7,2
130,1976,896,7,1
140,1922,189,2,3
140,1922,189,2,4
140,2015,516,1,3
140,2015,516,1,2
140,2015,516,1,3
140,2015,516,1,2
140,2015,516,1,3
140,2015,516,1,3
140,2015,516,1,3
140,2015,516,1,3
140,2015,516,1,3
140,2015,516,1,3
140,2015,516,1,3
140,2015,516,1,3
130,1997,144,1,2
130,1997,144,1,2
130,1963,125,5,5
130,2008,138,1,4
130,1988,322,2,4
130,1988,322,2,2
130,1988,322,2,4
130,1988,322,2,2
190,1973,25,7,1
130,1981,118,7,5
130,1987,118,7,5
140,1959,1803,1,4
140,1959,1803,1,3
140,1959,1803,1,3
140,1959,1803,1,3
140,1959,1803,1,3
140,1959,1803,1,2
140,1959,1803,1,4
140,1959,1803,1,3
140,1959,1803,1,3
140,1959,1803,1,3
140,1959,1803,1,3
140,1959,1803,1,2
140,1959,1803,1,4
140,1959,1803,1,3
140,1959,1803,1,3
140,1959,1803,1,3
140,1959,1803,1,3
140,1959,1803,1,2
130,2001,112,1,4
130,1976,108,1,4
140,1736,226,2,3
140,1736,226,2,2
140,1736,226,2,2
140,1736,226,2,2
140,1736,226,2,2
130,1965,176,2,2
130,1965,176,2,1
130,1997,138,2,5
130,1997,138,2,1
130,1927,146,2,5
140,1969,2070,1,2
140,1969,2070,1,3
140,1969,2070,1,3
140,1969,2070,1,2
140,1969,2070,1,3
140,1969,2070,1,3
140,1969,2070,1,2
140,1969,2070,1,3
140,1969,2070,1,3
140,1969,2070,1,3
130,1940,67,7,4
130,2008,81,2,3
130,1996,85,2,3
130,1980,183,1,5
130,1976,111,1,4
130,1972,146,1,4
130,1976,108,1,4
130,1777,129,2,3
130,1777,129,2,1
130,1961,220,7,4
130,1961,220,7,5
130,1996,160,1,3
130,1992,290,7,3
130,1992,290,7,2
140,1968,2148,2,4
140,1968,2148,2,
140,1968,2148,2,
140,1968,2148,2,4
140,1968,2148,2,
140,1968,2148,2,
140,1968,2148,2,4
140,1968,2148,2,
140,1968,2148,2,
140,1968,2148,2,4
140,1968,2148,2,
140,1968,2148,2,
140,1968,2148,2,4
140,1968,2148,2,
140,1968,2148,2,
140,1968,2148,2,4
140,1968,2148,2,
140,1968,2148,2,
140,1924,270,1,2
140,1924,270,1,3
130,1976,124,7,4
130,1973,192,1,5
140,1969,2618,1,2
140,1969,2618,1,3
140,1969,2618,1,3
140,1969,2618,1,2
140,1969,2618,1,3
140,1969,2618,1,3
140,1969,2618,1,3
140,1969,2618,1,3
140,1969,2618,1,2
140,1969,2618,1,4
140,1969,2618,1,3
140,1969,2618,1,2
140,1969,2618,1,2
140,1969,2618,1,3
140,1969,2618,1,3
130,1920,147,1,5
130,2014,107,1,4
130,2014,107,1,4
140,1887,335,2,1
140,1887,335,2,2
140,1887,335,2,4
140,1887,335,2,1
140,1887,335,2,2
130,1980,188,1,5
130,1977,108,1,4
130,1974,512,1,4
130,1974,512,1,3
130,1974,512,1,2
130,1974,512,1,2
130,1974,512,1,1
130,1974,512,1,
140,1990,242,2,2
140,1990,242,2,2
130,1973,192,1,5
130,2008,96,2,3
140,1750,313,1,3
140,1750,313,1,3
140,1750,313,1,3
130,1990,233,1,3
130,1990,233,1,2
140,1901,250,2,2
140,1901,250,2,2
140,1901,250,2,2
140,1901,250,2,2
140,1901,250,2,2
140,1901,250,2,2
130,1979,119,7,5
140,1902,418,1,3
140,1902,418,1,3
140,1902,418,1,3
140,1902,418,1,3
140,1902,418,1,4
140,1902,418,1,3
130,1982,344,2,3
140,1885,317,1,6
140,1885,317,1,4
130,1880,74,2,2
140,1770,177,2,2
140,1770,177,2,3
130,1965,146,2,6
130,1946,89,2,3
130,2000,113,1,4
130,1959,92,1,4
130,1963,80,2,2
130,1983,206,1,4
130,1983,206,1,4
130,2000,344,2,3
130,1680,46,7,2
140,1924,290,1,3
140,1924,290,1,3
140,1924,290,1,3
140,1952,1176,1,4
140,1952,1176,1,4
140,1952,1176,1,4
140,1952,1176,1,4
140,1952,1176,1,4
140,1952,1176,1,4
140,1902,756,1,3
140,1902,756,1,2
140,1902,756,1,3
140,1902,756,1,3
140,1902,756,1,3
140,1902,756,1,2
140,1902,756,1,3
140,1902,756,1,3
140,1902,756,1,3
140,1902,756,1,2
140,1902,756,1,3
140,1902,756,1,3
130,1970,200,2,2
130,1977,102,2,4
130,2000,92,1,3
130,1986,426,2,3
130,1986,426,2,2
130,2008,111,1,4
130,1759,26,,1
130,1830,102,2,3
130,1979,188,1,5
140,1900,665,2,4
140,1900,665,2,4
140,1900,665,2,3
140,1900,665,2,3
140,1900,665,2,1
140,1900,665,2,1
140,1900,665,2,5
140,1900,665,2,4
140,1923,221,2,6
140,1923,221,2,3
140,1930,216,2,4
140,1930,216,2,4
130,1982,159,1,5
130,1976,108,1,4
130,1921,100,1,5
130,2008,83,2,3
130,1996,371,2,3
130,1996,371,2,2
130,2008,111,1,4
130,1962,80,2,4
140,1972,2070,1,1
140,1972,2070,1,3
140,1972,2070,1,4
140,1972,2070,1,2
140,1972,2070,1,1
140,1972,2070,1,3
140,1972,2070,1,4
140,1972,2070,1,3
140,1972,2070,1,2
140,1972,2070,1,1
140,1972,2070,1,3
140,1972,2070,1,4
140,1972,2070,1,3
130,1979,119,7,5
140,1915,199,1,2
140,1915,199,1,
140,1915,199,1,
140,1915,199,1,2
140,1915,199,1,2
140,1915,199,1,2
140,1915,199,1,2
140,1915,199,1,2
140,1915,199,1,
130,1999,80,2,2
130,1990,275,1,2
130,1990,275,1,1
140,1904,175,2,3
140,1904,175,2,2
140,1904,175,2,3
140,1917,305,7,1
140,1917,305,7,1
140,1917,305,7,6
